"","82-breast-1","82-brain-1","82-brain-2"
"ACY1",0,4,6
"ACY3",0,5,7
"ACYP1",0,7,6
"ACYP2",2,48,54
"ADA",0,1,1
"ADAD1",0,0,0
"ADAD2",0,0,0
"ADAL",0,22,20
"ADAM1",0,4,4
"ADAM10",6,70,201
"ADAM11",0,0,0
"ADAM12",0,2,0
"ADAM15",9,159,388
"ADAM17",6,63,95
"ADAM18",0,0,0
"ADAM19",0,0,0
"ADAM2",0,0,0
"ADAM20",0,0,0
"ADAM21",0,1,0
"ADAM21P1",0,0,0
"ADAM22",0,1,1
"ADAM23",0,0,0
"ADAM28",3,23,46
"ADAM29",0,0,0
"ADAM30",0,0,0
"ADAM32",0,0,0
"ADAM33",0,0,0
"ADAM3A",0,0,0
"ADAM5P",0,0,0
"ADAM6",0,0,0
"ADAM7",0,0,0
"ADAM8",0,21,21
"ADAM9",24,84,190
"ADAMDEC1",0,0,0
"ADAMTS1",0,0,0
"ADAMTS10",0,0,0
"ADAMTS12",0,2,1
"ADAMTS13",0,3,1
"ADAMTS14",0,1,3
"ADAMTS15",0,0,1
"ADAMTS16",0,0,0
"ADAMTS17",0,3,6
"ADAMTS18",0,0,0
"ADAMTS19",0,5,8
"ADAMTS2",0,0,0
"ADAMTS20",0,0,0
"ADAMTS3",0,0,5
"ADAMTS4",0,1,1
"ADAMTS5",0,0,0
"ADAMTS6",0,0,0
"ADAMTS7",0,1,0
"ADAMTS8",0,0,0
"ADAMTS9",0,0,0
"ADAMTS9-AS2",0,0,0
"ADAMTSL1",1,0,0
"ADAMTSL2",0,1,2
"ADAMTSL3",0,3,1
"ADAMTSL4",0,2,2
"ADAMTSL5",1,1,8
"ADAP1",2,17,24
"ADAP2",0,0,0
"ADAR",9,222,544
"ADARB1",0,1,2
"ADARB2",0,0,0
"ADARB2-AS1",0,0,0
"ADAT1",2,52,107
"ADAT2",0,3,4
"ADAT3",0,0,0
"ADC",0,1,2
"ADCK1",0,15,24
"ADCK2",0,17,22
"ADCK3",2,89,174
"ADCK4",1,19,22
"ADCK5",4,57,63
"ADCY1",0,0,2
"ADCY10",0,0,1
"ADCY2",0,65,72
"ADCY3",0,0,1
"ADCY4",0,2,0
"ADCY5",0,1,0
"ADCY6",1,29,59
"ADCY7",1,1,4
"ADCY8",0,0,0
"ADCY9",1,7,5
"ADCYAP1",0,0,0
"ADCYAP1R1",0,0,0
"ADD1",5,94,149
"ADD2",0,0,0
"ADD3",0,0,0
"ADGB",0,0,0
"ADH1A",0,0,0
"ADH1B",0,0,0
"ADH1C",0,1,1
"ADH4",0,1,1
"ADH5",5,150,219
"ADH6",0,0,0
"ADH7",0,0,1
"ADHFE1",0,21,13
"ADI1",8,250,358
"ADIG",0,0,0
"ADIPOQ",0,0,2
"ADIPOR1",46,363,857
"ADIPOR2",0,21,33
"ADK",2,182,220
"ADM",5,43,79
"ADM2",0,8,6
"ADNP",5,99,103
"ADNP2",0,14,13
"ADO",0,12,11
"ADORA1",0,8,10
"ADORA2A",0,7,12
"ADORA2B",0,11,16
"ADORA3",0,0,0
"ADPGK",0,19,48
"ADPRH",0,0,0
"ADPRHL1",1,6,21
"ADPRHL2",3,40,84
"ADRA1A",0,4,1
"ADRA1B",0,0,0
"ADRA1D",0,0,0
"ADRA2A",0,0,0
"ADRA2B",0,0,1
"ADRA2C",0,0,1
"ADRB1",0,0,0
"ADRB2",0,0,0
"ADRB3",0,0,0
"ADRBK1",0,23,16
"ADRBK2",0,8,5
"ADRM1",15,411,522
"ADSL",1,49,60
"ADSS",16,280,456
"ADSSL1",0,6,9
"ADTRP",0,0,2
"AEBP1",0,0,0
"AEBP2",1,15,12
"AEN",2,22,38
"AES",11,147,170
"AFAP1",2,33,40
"AFAP1-AS1",0,0,0
"AFAP1L1",0,1,0
"AFAP1L2",0,0,0
"AFF1",2,105,101
"AFF2",0,0,0
"AFF3",0,1,0
"AFF4",1,94,80
"AFG3L1P",1,24,18
"AFG3L2",1,15,27
"AFM",0,0,0
"AFMID",0,23,26
"AFP",0,9,17
"AFTPH",2,94,133
"AGA",2,114,164
"AGAP1",2,38,15
"AGAP11",0,5,16
"AGAP2",0,0,0
"AGAP3",0,22,23
"AGAP4",0,0,1
"AGAP5",0,3,4
"AGAP6",0,7,4
"AGAP7",0,0,0
"AGAP8",0,0,0
"AGAP9",0,0,0
"AGBL1",0,0,0
"AGBL2",0,3,0
"AGBL3",0,4,3
"AGBL4",0,0,0
"AGBL5",1,23,39
"AGER",0,1,5
"AGFG1",0,27,42
"AGFG2",1,20,36
"AGGF1",3,18,18
"AGK",1,85,163
"AGL",3,44,66
"AGMAT",0,7,3
"AGMO",0,3,5
"AGPAT1",0,21,49
"AGPAT2",6,59,111
"AGPAT3",2,26,33
"AGPAT4",0,0,1
"AGPAT4-IT1",0,0,0
"AGPAT5",0,54,89
"AGPAT6",4,81,134
"AGPAT9",0,2,0
"AGPHD1",0,1,0
"AGPS",4,18,17
"AGR2",151,4674,5127
"AGR3",29,231,280
"AGRN",0,10,19
"AGRP",0,0,0
"AGSK1",0,0,0
"AGT",0,7,9
"AGTPBP1",0,7,24
"AGTR1",0,0,0
"AGTR2",0,0,0
"AGTRAP",2,88,167
"AGXT",0,28,37
"AGXT2",0,0,0
"AGXT2L1",0,0,0
"AGXT2L2",0,12,25
"AHCTF1",3,76,60
"AHCY",3,217,337
"AHCYL1",4,130,117
"AHCYL2",0,23,22
"AHDC1",0,4,2
"AHI1",0,68,61
"AHNAK",18,215,305
"AHNAK2",1,0,2
"AHR",5,70,100
"AHRR",0,0,4
"AHSA1",10,363,420
"AHSA2",0,19,23
"AHSG",0,0,0
"AHSP",0,0,0
"AICDA",0,0,0
"AIDA",1,53,42
"AIF1",0,0,0
"AIF1L",1,50,85
"AIFM1",0,139,188
"AIFM2",1,19,26
"AIFM3",0,0,0
"AIG1",0,54,48
"AIM1",2,110,167
"AIM1L",3,17,33
"AIM2",0,0,0
"AIMP1",1,126,137
"AIMP2",6,120,149
"AIP",1,84,91
"AIPL1",0,4,2
"AIRE",0,0,0
"AJAP1",0,0,0
"AJUBA",0,24,41
"AK1",2,113,101
"AK2",4,203,298
"AK3",1,62,95
"AK4",0,40,42
"AK5",0,0,4
"AK7",0,11,18
"AK8",0,18,24
"AKAP1",3,31,56
"AKAP10",0,16,21
"AKAP11",1,28,35
"AKAP12",0,6,2
"AKAP13",12,217,355
"AKAP14",0,0,0
"AKAP17A",0,0,0
"AKAP2",0,0,0
"AKAP3",0,0,0
"AKAP4",0,0,0
"AKAP5",0,6,11
"AKAP6",0,0,3
