"","82-breast-1","82-brain-1","82-brain-2"
"CDK15",0,0,0
"CDK16",4,18,24
"CDK17",1,15,8
"CDK18",0,0,3
"CDK19",0,32,24
"CDK2",1,28,62
"CDK20",0,9,17
"CDK2AP1",0,58,30
"CDK2AP2",4,225,220
"CDK3",0,0,0
"CDK4",6,188,301
"CDK5",1,73,74
"CDK5R1",0,2,4
"CDK5R2",0,0,0
"CDK5RAP1",1,82,127
"CDK5RAP2",1,53,78
"CDK5RAP3",3,183,249
"CDK6",6,82,97
"CDK7",0,61,53
"CDK8",0,3,6
"CDK9",0,34,62
"CDKAL1",1,29,38
"CDKL1",0,2,0
"CDKL2",0,0,0
"CDKL3",0,0,6
"CDKL4",0,0,1
"CDKL5",0,8,11
"CDKN1A",24,97,220
"CDKN1B",4,17,14
"CDKN1C",0,5,1
"CDKN2A",1,2,5
"CDKN2AIP",1,14,26
"CDKN2AIPNL",3,39,56
"CDKN2B",10,9,44
"CDKN2B-AS1",0,1,0
"CDKN2C",0,12,6
"CDKN2D",0,9,8
"CDKN3",1,65,57
"CDNF",0,1,1
"CDO1",0,1,0
"CDON",0,4,10
"CDR1",0,0,0
"CDR2",2,55,37
"CDR2L",3,14,5
"CDRT1",1,0,1
"CDRT15",0,0,0
"CDRT15L2",0,0,0
"CDRT15P1",0,0,0
"CDRT15P2",0,0,0
"CDRT4",0,0,0
"CDRT7",0,0,0
"CDS1",5,28,45
"CDS2",3,68,112
"CDSN",0,0,0
"CDT1",0,13,10
"CDV3",1,22,17
"CDX1",0,0,0
"CDX2",0,0,0
"CDX4",0,0,0
"CDY1",0,0,0
"CDY1B",0,0,0
"CDY2A",0,0,0
"CDY2B",0,0,0
"CDYL",1,25,19
"CDYL2",0,8,17
"CEACAM1",18,106,256
"CEACAM16",0,0,0
"CEACAM18",0,0,0
"CEACAM19",0,0,3
"CEACAM20",0,0,1
"CEACAM21",0,0,0
"CEACAM22P",0,4,6
"CEACAM3",0,0,4
"CEACAM4",0,0,0
"CEACAM5",621,1072,4310
"CEACAM6",1870,4022,14648
"CEACAM7",3,56,242
"CEACAM8",0,0,1
"CEBPA",0,15,12
"CEBPB",0,4,2
"CEBPD",0,0,0
"CEBPE",0,0,0
"CEBPG",1,60,89
"CEBPZ",0,109,124
"CECR1",0,1,0
"CECR2",0,0,0
"CECR3",0,0,0
"CECR5",0,17,41
"CECR5-AS1",0,5,1
"CECR6",0,0,0
"CECR7",0,0,0
"CEL",0,1,1
"CELA1",0,0,0
"CELA2A",0,0,0
"CELA2B",0,0,0
"CELA3A",0,0,0
"CELA3B",0,0,0
"CELF1",1,51,83
"CELF2",0,1,0
"CELF3",0,1,0
"CELF4",0,3,1
"CELF5",0,2,2
"CELF6",0,0,0
"CELP",0,0,0
"CELSR1",1,77,79
"CELSR2",0,21,16
"CELSR3",0,8,1
"CEMP1",0,3,10
"CEND1",0,0,0
"CENPA",0,5,11
"CENPB",0,11,9
"CENPBD1",0,42,76
"CENPC1",2,48,41
"CENPE",0,39,26
"CENPF",0,309,221
"CENPH",0,35,32
"CENPI",0,9,4
"CENPJ",1,29,26
"CENPK",1,16,15
"CENPL",0,32,59
"CENPM",0,28,32
"CENPN",2,74,76
"CENPO",0,13,16
"CENPP",0,9,5
"CENPQ",0,23,27
"CENPT",2,91,85
"CENPV",0,0,0
"CENPVL1",0,0,0
"CENPW",2,58,43
"CEP104",1,23,15
"CEP112",0,0,0
"CEP120",1,9,24
"CEP128",0,9,7
"CEP135",1,18,14
"CEP152",0,24,23
"CEP164",0,29,19
"CEP170",0,51,63
"CEP170P1",0,0,0
"CEP19",0,6,4
"CEP192",0,19,20
"CEP250",0,72,78
"CEP290",0,32,27
"CEP350",0,171,225
"CEP41",0,53,77
"CEP44",2,21,31
"CEP55",0,11,23
"CEP57",3,82,106
"CEP57L1",0,32,32
"CEP63",0,41,38
"CEP68",1,22,51
"CEP70",2,72,63
"CEP72",0,10,22
"CEP76",0,12,10
"CEP78",1,6,20
"CEP85",1,25,51
"CEP85L",0,0,0
"CEP89",0,40,64
"CEP95",1,35,39
"CEP97",0,12,6
"CEPT1",2,30,44
"CER1",0,0,0
"CERCAM",2,31,44
"CERK",0,1,2
"CERKL",0,3,1
"CERS1",0,0,0
"CERS2",22,477,932
"CERS3",0,0,0
"CERS4",0,18,43
"CERS5",0,20,44
"CERS6",2,29,25
"CES1",0,0,0
"CES1P1",0,0,0
"CES1P2",0,0,0
"CES2",3,80,145
"CES3",0,1,3
"CES4A",0,9,12
"CES5A",0,0,0
"CES5AP1",0,0,0
"CETN1",0,0,0
"CETN2",3,196,179
"CETN3",1,61,60
"CETN4P",0,0,0
"CETP",0,0,0
"CFB",32,201,2035
"CFC1",0,0,0
"CFC1B",0,0,0
"CFD",0,3,13
"CFDP1",3,112,98
"CFH",4,16,69
"CFHR1",0,0,0
"CFHR2",0,0,0
"CFHR3",0,0,0
"CFHR4",0,0,0
"CFHR5",0,0,0
"CFI",0,1,8
"CFL1",52,1995,2472
"CFL1P1",0,0,0
"CFL2",4,38,47
"CFLAR",10,180,192
"CFLAR-AS1",0,1,0
"CFP",0,0,0
"CFTR",0,0,3
"CG030",0,2,0
"CGA",0,0,0
"CGB",0,0,0
"CGB1",0,0,0
"CGB2",0,0,0
"CGB5",0,0,0
"CGB7",0,0,0
"CGB8",0,0,0
"CGGBP1",1,74,88
"CGN",2,51,102
"CGNL1",0,56,113
"CGREF1",1,5,19
"CGRRF1",0,14,23
"CH25H",0,1,0
"CHAC1",0,12,13
"CHAC2",0,6,13
"CHAD",0,0,0
"CHADL",0,16,9
"CHAF1A",0,23,29
"CHAF1B",0,32,48
"CHAMP1",0,8,5
"CHAT",0,0,0
"CHCHD1",4,135,143
"CHCHD10",0,3,3
"CHCHD2",29,1518,1745
"CHCHD3",5,153,208
"CHCHD4",0,27,39
"CHCHD5",1,86,96
"CHCHD6",0,24,23
"CHCHD7",4,63,76
"CHCHD8",2,196,210
"CHD1",4,36,35
"CHD1L",1,85,167
"CHD2",1,195,211
"CHD3",0,52,39
"CHD4",4,189,248
"CHD5",0,0,0
"CHD6",3,189,195
"CHD7",1,20,33
"CHD8",2,70,83
"CHD9",2,124,161
"CHDH",0,16,19
"CHEK1",0,48,62
"CHEK2",0,15,17
"CHEK2P2",0,0,0
"CHERP",1,40,38
"CHFR",2,42,62
"CHGA",0,0,0
"CHGB",0,0,0
"CHI3L1",0,0,0
"CHI3L2",0,0,0
"CHIA",0,0,0
"CHIC1",0,3,7
"CHIC2",0,7,15
"CHID1",7,159,259
"CHIT1",0,0,0
"CHKA",1,16,22
"CHKB",0,0,0
"CHKB-CPT1B",0,0,0
"CHL1",0,0,0
"CHM",1,25,37
"CHML",0,14,11
"CHMP1A",3,162,270
"CHMP1B",3,128,151
"CHMP2A",21,990,1064
"CHMP2B",4,148,162
"CHMP3",0,9,13
"CHMP4A",2,193,235
"CHMP4B",1,39,38
"CHMP4C",3,75,106
"CHMP5",9,282,400
"CHMP6",3,77,124
"CHMP7",4,52,108
"CHN1",0,0,0
"CHN2",1,17,41
"CHODL",0,0,0
"CHODL-AS1",0,0,0
"CHORDC1",4,62,109
"CHP",6,105,134
"CHP2",0,0,2
"CHPF",0,22,18
"CHPF2",4,46,96
"CHPT1",0,12,15
"CHRAC1",2,59,91
"CHRD",0,0,0
"CHRDL1",0,0,0
"CHRDL2",0,0,0
"CHRFAM7A",0,0,0
"CHRM1",0,30,34
"CHRM2",0,0,0
"CHRM3",0,28,20
"CHRM4",0,2,0
"CHRM5",0,0,0
"CHRNA1",0,0,0
"CHRNA10",0,1,2
"CHRNA2",0,0,0
"CHRNA3",0,0,0
"CHRNA4",0,0,0
"CHRNA5",0,0,1
"CHRNA6",0,0,0
"CHRNA7",0,1,1
"CHRNA9",0,0,0
"CHRNB1",0,11,22
"CHRNB2",0,0,1
"CHRNB3",0,0,0
"CHRNB4",0,0,0
"CHRND",0,0,0
"CHRNE",0,0,0
"CHRNG",0,1,0
"CHST1",0,0,0
"CHST10",0,0,0
"CHST11",0,7,6
"CHST12",0,30,78
"CHST13",0,0,0
"CHST14",0,4,0
"CHST15",1,22,72
"CHST2",0,0,0
"CHST3",0,5,0
"CHST4",0,1,1
"CHST5",0,2,0
"CHST6",0,5,3
"CHST7",0,1,1
"CHST8",0,1,3
"CHST9",0,0,0
"CHST9-AS1",0,1,0
"CHSY1",0,6,8
"CHSY3",0,0,0
"CHTF18",2,83,98
"CHTF8",0,25,48
"CHTOP",3,163,183
"CHUK",1,27,54
"CHURC1",8,116,156
"CHURC1-FNTB",0,0,0
"CIAO1",6,193,328
"CIAPIN1",6,118,279
"CIB1",21,621,773
"CIB2",0,0,0
"CIB3",0,0,1
"CIB4",0,0,0
"CIC",0,5,2
"CIDEA",0,0,0
"CIDEB",1,4,5
"CIDEC",0,0,0
"CIDECP",2,15,16
"CIITA",0,1,1
"CILP",0,0,0
"CILP2",0,1,0
"CINP",6,132,126
"CIR1",1,72,61
"CIRBP",2,452,492
"CIRBP-AS1",0,2,1
"CIRH1A",6,108,174
"CISD1",4,98,116
"CISD2",3,110,102
"CISD3",1,40,61
"CISH",0,100,134
"CIT",0,11,9
"CITED1",0,3,4
"CITED2",0,2,3
"CITED4",0,1,0
"CIZ1",1,23,42
"CKAP2",0,125,140
"CKAP2L",0,45,33
"CKAP4",1,85,53
"CKAP5",2,119,133
"CKB",7,102,93
"CKLF",1,18,16
"CKLF-CMTM1",0,0,0
"CKM",0,1,1
"CKMT1A",0,39,49
"CKMT1B",0,39,57
"CKMT2",0,2,0
"CKS1B",2,393,407
"CKS2",0,256,194
"CLASP1",0,22,34
"CLASP2",1,16,18
"CLASRP",0,9,10
"CLC",0,47,30
"CLCA1",0,0,0
"CLCA2",0,92,103
"CLCA3P",5,0,0
"CLCA4",0,0,0
"CLCC1",1,50,119
"CLCF1",0,14,14
"CLCN1",0,0,2
"CLCN2",0,15,17
"CLCN3",2,69,79
"CLCN4",0,2,0
"CLCN5",0,6,6
"CLCN6",0,11,7
"CLCN7",5,49,111
"CLCNKA",0,1,0
"CLCNKB",0,0,0
"CLDN1",0,0,0
"CLDN10",0,0,0
"CLDN11",0,0,0
"CLDN12",6,66,174
"CLDN14",0,0,0
"CLDN15",0,4,5
"CLDN16",0,0,1
"CLDN17",0,0,0
"CLDN18",0,1,0
"CLDN19",0,0,0
"CLDN2",0,0,0
"CLDN20",0,0,0
"CLDN22",0,0,0
"CLDN23",4,21,39
"CLDN24",0,0,0
"CLDN25",0,0,2
"CLDN3",28,229,498
"CLDN4",421,4263,8292
"CLDN5",0,0,0
"CLDN6",0,0,0
"CLDN7",44,934,1618
"CLDN8",0,2,1
"CLDN9",2,65,93
"CLDND1",2,61,75
"CLDND2",0,4,1
"CLEC10A",0,0,0
"CLEC11A",0,2,6
"CLEC12A",0,0,0
"CLEC12B",0,0,0
"CLEC14A",0,0,0
"CLEC16A",0,25,39
"CLEC17A",0,0,0
"CLEC18A",0,1,0
"CLEC18B",0,0,0
"CLEC18C",0,0,0
"CLEC19A",0,0,0
"CLEC1A",0,0,0
"CLEC1B",0,0,0
"CLEC2A",0,0,0
"CLEC2B",0,2,0
"CLEC2D",0,16,11
"CLEC2L",0,0,0
"CLEC3A",0,3,1
"CLEC3B",0,0,0
"CLEC4A",0,0,0
"CLEC4C",0,0,0
"CLEC4D",0,0,0
"CLEC4E",0,0,0
"CLEC4F",0,0,0
"CLEC4G",0,0,0
"CLEC4GP1",0,1,2
"CLEC4M",0,0,0
"CLEC5A",0,0,0
"CLEC6A",0,0,0
"CLEC7A",0,0,1
"CLEC9A",0,0,0
"CLECL1",0,0,0
"CLGN",2,99,173
"CLIC1",53,1330,1838
"CLIC2",0,1,0
"CLIC3",0,7,49
"CLIC4",7,115,147
"CLIC5",2,3,15
"CLIC6",0,3,0
"CLINT1",18,299,430
"CLIP1",18,145,205
"CLIP2",0,1,0
"CLIP3",0,2,2
"CLIP4",0,0,0
"CLK1",1,97,139
"CLK2",0,39,29
"CLK2P",0,0,0
"CLK3",0,85,113
"CLK4",0,34,56
"CLLU1",0,0,0
"CLLU1OS",0,0,0
"CLMN",1,150,204
"CLMP",0,1,1
"CLN3",8,486,849
"CLN5",0,19,55
"CLN6",1,19,13
"CLN8",1,77,87
"CLNK",0,0,0
"CLNS1A",2,190,260
"CLOCK",1,35,50
"CLP1",0,37,88
"CLPB",0,12,24
"CLPP",1,113,159
"CLPS",0,0,0
"CLPSL1",0,2,3
"CLPSL2",0,1,0
"CLPTM1",0,22,61
"CLPTM1L",1,32,42
"CLPX",1,92,110
"CLRN1",0,0,0
"CLRN1-AS1",0,0,0
"CLRN2",0,0,0
"CLRN3",0,0,0
"CLSPN",0,43,34
"CLSTN1",3,53,23
"CLSTN2",0,3,3
"CLSTN3",0,1,3
"CLTA",4,127,210
"CLTB",4,26,44
"CLTC",16,440,889
"CLTCL1",0,2,6
"CLU",28,1538,2365
"CLUAP1",1,65,67
"CLUL1",0,3,1
"CLVS1",0,0,0
"CLVS2",0,0,0
"CLYBL",0,5,11
"CMA1",0,0,0
"CMAHP",2,20,20
"CMAS",5,110,185
"CMBL",4,175,204
"CMC1",0,39,32
"CMC2",1,69,53
"CMIP",0,2,0
"CMKLR1",0,0,0
"CMPK1",16,126,249
"CMPK2",0,1,50
"CMTM1",0,2,2
"CMTM2",0,0,0
"CMTM3",0,0,0
"CMTM4",1,44,23
"CMTM5",0,0,0
"CMTM6",7,105,174
"CMTM7",0,0,0
"CMTM8",0,4,1
"CMYA5",0,18,22
"CN5H6.4",0,4,4
"CNBD1",0,0,0
"CNBP",12,331,515
"CNDP1",0,0,0
"CNDP2",17,209,560
"CNEP1R1",5,31,78
"CNFN",1,46,27
"CNGA1",0,13,21
"CNGA2",0,0,0
"CNGA3",0,0,0
"CNGA4",0,0,0
"CNGB1",0,1,0
"CNGB3",0,1,0
"CNIH",11,227,329
"CNIH2",0,1,0
"CNIH3",1,7,12
"CNIH4",12,346,382
"CNKSR1",1,23,48
"CNKSR2",0,1,0
"CNKSR3",0,4,7
"CNN1",0,0,0
"CNN2",13,535,880
"CNN3",16,356,358
"CNNM1",0,0,0
"CNNM2",0,1,1
"CNNM3",0,26,20
"CNNM4",0,17,21
"CNO",0,2,4
"CNOT1",4,95,159
"CNOT10",1,68,82
"CNOT2",3,108,103
"CNOT3",1,16,6
"CNOT4",2,51,82
"CNOT6",1,32,21
"CNOT6L",5,20,33
"CNOT7",7,246,292
"CNOT8",8,89,182
"CNP",2,104,205
"CNPPD1",2,79,157
"CNPY1",0,0,0
"CNPY2",11,389,456
"CNPY3",9,258,353
"CNPY4",0,32,24
"CNR1",0,0,0
"CNR2",0,0,0
"CNRIP1",0,0,0
"CNST",3,39,77
"CNTD1",0,2,2
"CNTD2",0,0,1
"CNTF",0,0,0
"CNTFR",0,3,4
"CNTLN",0,7,3
"CNTN1",4,42,85
"CNTN2",0,6,3
"CNTN3",0,0,0
"CNTN4",0,0,3
"CNTN5",0,3,5
"CNTN6",0,0,0
"CNTNAP1",0,0,0
"CNTNAP2",1,138,130
"CNTNAP3",0,0,0
"CNTNAP3B",0,0,0
"CNTNAP4",0,0,0
"CNTNAP5",0,1,0
"CNTRL",0,26,37
"CNTROB",0,16,23
"COA5",4,95,118
"COASY",8,103,214
"COBL",1,31,22
"COBLL1",1,37,69
"COBRA1",0,3,7
"COCH",0,0,0
"COG1",3,10,45
"COG2",7,184,333
"COG3",2,63,142
"COG4",4,127,200
"COG5",4,113,216
"COG6",2,77,159
"COG7",7,119,241
"COG8",4,12,24
"COIL",1,104,98
"COL10A1",0,0,1
"COL11A1",0,0,0
"COL11A2",0,1,0
"COL12A1",0,1,0
"COL13A1",0,6,0
"COL14A1",0,0,0
"COL15A1",0,0,1
"COL16A1",0,4,5
"COL17A1",0,2,2
"COL18A1",0,2,0
"COL18A1-AS1",0,0,0
"COL19A1",0,0,0
"COL1A1",4,2,5
"COL1A2",0,0,0
"COL20A1",0,0,0
"COL21A1",0,0,0
"COL22A1",0,0,0
"COL23A1",0,0,0
"COL24A1",0,2,1
"COL25A1",0,0,0
"COL27A1",0,2,1
"COL28A1",0,8,6
"COL2A1",0,0,0
"COL3A1",0,0,0
"COL4A1",0,0,0
"COL4A2",0,15,19
"COL4A3",0,0,1
"COL4A3BP",2,54,52
"COL4A4",0,0,0
"COL4A5",0,0,0
"COL4A6",0,0,0
"COL5A1",0,0,0
"COL5A2",0,9,5
"COL5A3",0,0,0
"COL6A1",0,0,0
"COL6A2",0,0,0
"COL6A3",0,0,0
"COL6A4P1",0,0,2
"COL6A4P2",0,0,0
"COL6A5",0,0,0
"COL6A6",0,0,0
"COL7A1",0,0,3
"COL8A1",0,0,0
"COL8A2",0,0,0
"COL9A1",0,0,0
"COL9A2",0,19,30
"COL9A3",0,3,3
"COLEC10",0,0,1
"COLEC11",0,0,1
"COLEC12",0,4,6
"COLQ",0,0,0
"COMMD1",1,83,99
"COMMD10",2,64,93
"COMMD2",0,50,79
"COMMD3",1,92,93
"COMMD3-BMI1",0,0,0
"COMMD4",2,158,158
"COMMD5",2,95,135
"COMMD6",3,142,144
"COMMD7",6,189,381
"COMMD8",2,21,39
"COMMD9",1,39,42
"COMP",0,0,0
"COMT",7,819,970
"COMTD1",10,19,60
"COPA",27,506,1150
"COPB1",15,258,453
"COPB2",17,415,858
"COPE",21,794,1161
"COPG1",18,358,728
"COPG2",0,6,17
"COPS2",0,58,80
"COPS3",3,155,182
"COPS4",10,92,142
"COPS5",12,296,345
"COPS6",13,430,609
"COPS7A",6,156,248
"COPS7B",1,94,147
"COPS8",3,217,265
"COPZ1",5,375,526
"COPZ2",0,0,0
"COQ10A",0,3,0
"COQ10B",4,108,199
"COQ2",0,3,2
"COQ3",0,16,31
"COQ4",3,121,179
"COQ5",1,81,75
"COQ6",2,102,210
"COQ7",3,60,101
"COQ9",7,186,252
"CORIN",0,0,2
"CORO1A",1,38,23
"CORO1B",8,312,501
"CORO1C",1,24,44
"CORO2A",14,260,520
"CORO2B",0,0,0
"CORO6",0,0,0
"CORO7",1,9,17
"CORO7-PAM16",0,0,0
"CORT",0,0,1
"COTL1",0,9,7
"COX10",0,22,42
"COX11",1,74,77
"COX14",1,155,200
"COX15",1,39,65
"COX16",1,38,43
"COX17",1,107,86
"COX18",1,34,46
"COX19",3,78,123
"COX20",0,3,4
"COX4I1",17,833,911
"COX4I2",0,0,0
"COX4NB",0,9,12
"COX5A",18,238,407
"COX5B",15,975,992
"COX6A1",30,1460,1452
"COX6A2",0,0,0
"COX6B1",7,826,727
"COX6B2",0,0,0
"COX6C",19,768,710
"COX7A1",0,0,0
"COX7A2",40,1024,1113
"COX7A2L",5,219,274
"COX7B",10,333,358
"COX7B2",0,0,0
"COX7C",6,575,536
"COX8A",12,536,591
"COX8C",0,0,0
"CP",4,21,57
"CPA1",0,0,0
"CPA2",0,0,0
"CPA3",0,0,0
"CPA4",1,10,4
"CPA5",0,0,0
"CPA6",0,0,1
"CPAMD8",0,11,6
"CPB1",0,0,2
"CPB2",0,0,1
"CPD",1,53,60
"CPE",5,17,14
"CPEB1",0,2,5
"CPEB2",1,3,8
"CPEB3",1,2,3
"CPEB4",9,60,47
"CPLX1",0,0,0
"CPLX2",0,1,0
"CPLX3",0,0,0
"CPLX4",0,0,0
"CPM",0,2,5
"CPN1",0,0,0
"CPN2",0,0,0
"CPNE1",18,526,691
"CPNE2",0,14,9
"CPNE3",7,320,483
"CPNE4",0,4,7
"CPNE5",0,3,2
"CPNE6",0,0,0
"CPNE7",1,43,40
"CPNE8",0,0,0
"CPNE9",0,0,0
"CPO",0,0,2
"CPOX",0,8,2
"CPPED1",6,42,84
"CPQ",0,1,0
"CPS1",0,0,1
"CPS1-IT1",0,0,0
"CPSF1",5,98,177
"CPSF2",2,91,155
"CPSF3",3,125,180
"CPSF3L",1,117,193
"CPSF4",1,42,85
"CPSF4L",0,1,0
"CPSF6",2,181,244
"CPSF7",0,16,23
"CPT1A",2,36,48
"CPT1B",0,0,0
"CPT1C",0,1,1
"CPT2",2,39,67
"CPVL",0,8,14
"CPXCR1",0,0,0
"CPXM1",0,0,0
"CPXM2",0,0,0
"CPZ",0,0,2
"CR1",0,0,0
"CR1L",0,0,0
"CR2",0,0,0
"CRABP1",0,0,0
"CRABP2",48,2427,2456
"CRADD",1,12,29
"CRAMP1L",0,17,26
"CRAT",2,381,769
"CRB1",0,1,0
"CRB2",0,0,0
"CRB3",4,58,110
"CRBN",0,72,141
"CRCP",10,179,241
"CRCT1",0,0,0
"CREB1",1,90,136
"CREB3",10,295,448
"CREB3L1",2,77,47
"CREB3L2",4,133,151
"CREB3L3",0,0,0
"CREB3L4",12,995,1527
"CREB5",0,0,0
"CREBBP",3,117,76
"CREBL2",0,40,54
"CREBZF",2,125,174
"CREG1",1,38,20
"CREG2",0,0,0
"CRELD1",2,59,58
"CRELD2",0,14,8
"CREM",2,24,41
"CRH",0,0,0
"CRHBP",0,0,0
"CRHR1",0,0,0
"CRHR2",0,0,0
"CRIM1",2,39,27
"CRIP1",9,195,194
"CRIP2",119,2234,2725
"CRIP3",0,0,2
"CRIPAK",0,8,9
"CRIPT",0,51,47
"CRISP1",0,0,0
"CRISP2",0,2,4
"CRISP3",20,380,653
"CRISPLD1",0,0,0
"CRISPLD2",0,11,13
"CRK",0,44,68
"CRKL",2,51,85
"CRLF1",0,0,0
"CRLF2",0,0,0
"CRLF3",0,10,11
"CRLS1",0,17,18
"CRMP1",0,0,0
"CRNDE",0,27,26
"CRNKL1",6,184,276
"CRNN",0,0,0
"CROCC",0,1,1
"CROCCP2",0,3,8
"CROCCP3",0,2,3
"CROT",5,55,76
"CRP",0,0,0
"CRSP8P",0,1,0
"CRTAC1",0,1,3
"CRTAM",0,0,0
"CRTAP",0,17,17
"CRTC1",0,5,7
"CRTC2",2,32,54
"CRTC3",0,14,12
"CRX",0,4,1
"CRY1",0,35,42
"CRY2",1,16,53
"CRYAA",0,0,0
"CRYAB",0,8,5
"CRYBA1",0,0,0
"CRYBA2",0,0,0
"CRYBA4",0,0,0
"CRYBB1",0,0,0
"CRYBB2",0,0,1
"CRYBB2P1",1,19,30
"CRYBB3",0,0,0
"CRYGA",0,0,0
"CRYGB",0,0,0
"CRYGC",0,0,0
"CRYGD",0,0,0
"CRYGN",0,0,0
"CRYGS",0,0,0
"CRYL1",0,16,36
"CRYM",1,38,31
"CRYM-AS1",0,1,4
"CRYZ",1,42,70
"CRYZL1",2,39,56
"CS",7,213,386
"CSAD",0,32,26
"CSAG1",0,0,0
"CSAG2",0,0,0
"CSAG3",0,0,0
"CSDA",0,3,1
"CSDAP1",0,0,0
"CSDC2",0,0,0
"CSDE1",26,453,712
"CSE1L",3,227,380
"CSF1",0,0,0
"CSF1R",0,1,0
"CSF2",0,0,0
"CSF2RA",0,0,0
"CSF2RB",0,0,1
"CSF3",0,0,0
"CSF3R",0,6,25
"CSGALNACT1",0,9,19
"CSGALNACT2",0,5,16
"CSH1",0,0,0
"CSH2",0,0,0
"CSHL1",0,0,0
"CSK",0,20,16
"CSMD1",0,0,0
"CSMD2",0,0,0
"CSMD3",0,0,0
"CSN1S1",0,0,0
"CSN1S2AP",0,0,0
"CSN1S2BP",0,0,0
"CSN2",0,0,0
"CSN3",0,0,0
"CSNK1A1",15,304,472
"CSNK1A1L",0,0,0
"CSNK1A1P1",0,0,0
"CSNK1D",8,288,491
"CSNK1E",0,36,46
"CSNK1G1",1,44,31
"CSNK1G2",0,23,21
"CSNK1G2-AS1",0,0,0
"CSNK1G3",0,13,6
"CSNK2A1",3,146,225
"CSNK2A1P",0,1,1
"CSNK2A2",0,3,1
"CSNK2B",8,489,496
"CSPG4",0,0,0
"CSPG4P1Y",0,0,0
"CSPG5",0,0,0
"CSPP1",1,32,39
"CSRNP1",0,9,12
"CSRNP2",0,25,32
"CSRNP3",0,0,0
"CSRP1",30,1762,3087
"CSRP2",0,11,1
"CSRP2BP",0,35,58
"CSRP3",0,0,0
"CST1",0,0,0
"CST11",0,0,0
"CST2",0,0,0
"CST3",30,134,334
"CST4",0,0,0
"CST5",0,0,0
"CST6",1,1,1
"CST7",0,0,1
"CST8",0,0,0
"CST9",0,0,0
"CST9L",0,0,0
"CSTA",0,4,13
"CSTB",11,261,266
"CSTF1",3,140,207
"CSTF2",4,76,135
"CSTF2T",2,83,163
"CSTF3",2,35,54
"CSTL1",0,0,0
"CSTT",0,0,0
"CT45A1",0,0,0
"CT45A2",0,0,0
"CT45A3",0,0,0
"CT45A4",0,0,0
"CT45A5",0,0,0
"CT45A6",0,0,0
"CT47A1",0,0,0
"CT47A10",0,0,0
"CT47A11",0,0,0
"CT47A12",0,0,0
"CT47A2",0,0,0
"CT47A3",0,0,0
"CT47A4",0,0,0
"CT47A5",0,0,0
"CT47A6",0,0,0
"CT47A7",0,0,0
"CT47A8",0,0,0
"CT47A9",0,0,0
"CT47B1",0,0,0
"CT62",0,0,2
"CTAG1A",0,0,0
"CTAG1B",0,0,0
"CTAG2",0,0,0
"CTAGE1",0,0,0
"CTAGE10P",0,0,0
"CTAGE11P",0,0,0
"CTAGE15P",0,0,0
"CTAGE4",0,0,0
"CTAGE5",2,95,150
"CTAGE6P",0,0,1
"CTAGE7P",0,0,0
"CTAGE9",0,0,0
"CTBP1",1,28,28
"CTBP2",0,102,88
"CTBS",1,29,44
"CTC1",0,8,15
"CTCF",0,37,23
"CTCFL",0,0,0
"CTDNEP1",0,12,5
"CTDP1",0,7,5
"CTDSP1",0,57,70
"CTDSP2",0,38,62
"CTDSPL",0,33,25
"CTDSPL2",1,51,77
"CTF1",0,1,5
"CTGF",0,0,0
"CTH",0,21,17
"CTHRC1",0,0,0
"CTIF",0,2,5
"CTLA4",0,0,0
"CTNNA1",38,517,1034
"CTNNA2",0,0,0
"CTNNA3",0,0,0
"CTNNAL1",0,10,7
"CTNNB1",5,166,442
"CTNNBIP1",1,23,22
"CTNNBL1",4,163,252
"CTNND1",0,7,13
"CTNND2",0,11,6
"CTNS",3,12,17
"CTPS",2,25,47
"CTPS2",0,43,85
"CTR9",3,93,182
"CTRB1",0,0,0
"CTRB2",0,0,0
"CTRC",0,0,0
"CTRL",0,0,1
"CTSA",12,145,250
"CTSB",56,934,1888
"CTSC",15,154,278
"CTSD",86,1876,4072
"CTSE",0,0,0
"CTSF",0,8,6
"CTSG",0,0,0
"CTSH",17,488,743
"CTSK",0,3,4
"CTSL1",3,13,17
"CTSL1P2",0,0,0
"CTSL1P8",0,0,0
"CTSL2",2,16,14
"CTSL3",0,0,0
"CTSO",2,16,15
"CTSS",8,34,145
"CTSW",0,0,0
"CTSZ",0,4,4
"CTTN",8,100,163
"CTTNBP2",0,2,7
"CTTNBP2NL",3,36,46
"CTU1",0,0,0
"CTU2",0,11,29
"CTXN1",0,2,0
"CTXN2",0,1,2
"CTXN3",0,0,0
"CUBN",0,0,0
"CUEDC1",0,9,6
"CUEDC2",0,73,91
"CUL1",8,203,310
"CUL2",4,63,143
"CUL3",0,44,45
"CUL4A",2,77,74
"CUL4B",2,43,69
"CUL5",1,79,112
"CUL7",5,72,129
"CUL9",2,13,33
"CUTA",9,441,432
"CUTC",1,12,17
"CUX1",4,139,176
"CUX2",0,0,0
"CUZD1",0,0,0
"CWC15",1,195,163
"CWC22",0,67,85
"CWC25",0,30,29
"CWC27",1,50,48
"CWF19L1",0,31,44
"CWF19L2",0,35,35
"CWH43",0,0,0
"CX3CL1",3,52,117
"CX3CR1",0,1,2
"CXADR",2,71,117
"CXADRP2",0,0,0
"CXADRP3",0,0,0
"CXCL1",0,21,46
"CXCL10",0,1,6
"CXCL11",0,0,0
"CXCL12",0,0,0
"CXCL13",0,0,0
"CXCL14",0,0,0
